restaurant_name,rating,review_text
Mayuri Inn,2,Terrible service and cold food.
Ocean View,4,One of the best places I've dined at.
Spice Garden,1,Terrible service and cold food.
Mayuri Inn,4,Highly recommend this restaurant.
Ocean View,2,Terrible service and cold food.
Mayuri Inn,4,The staff was friendly and the food was delicious.
Green Leaf,3,Waiting time was too long.
Ocean View,4,Loved the service and the taste.
Spice Garden,1,Waiting time was too long.
Royal Dine,4,The staff was friendly and the food was delicious.
Royal Dine,4,The staff was friendly and the food was delicious.
Spice Garden,5,Highly recommend this restaurant.
Green Leaf,4,The staff was friendly and the food was delicious.
Green Leaf,2,Terrible service and cold food.
Spice Garden,4,Amazing food and great ambiance!
Mayuri Inn,4,Amazing food and great ambiance!
Mayuri Inn,4,Loved the service and the taste.
Spice Garden,4,The staff was friendly and the food was delicious.
Mayuri Inn,5,Highly recommend this restaurant.
Royal Dine,3,Waiting time was too long.
Spice Garden,3,Terrible service and cold food.
Mayuri Inn,4,One of the best places I've dined at.
Mayuri Inn,4,The staff was friendly and the food was delicious.
Ocean View,2,Waiting time was too long.
Green Leaf,4,The staff was friendly and the food was delicious.
Mayuri Inn,5,Highly recommend this restaurant.
Mayuri Inn,5,Highly recommend this restaurant.
Ocean View,1,Waiting time was too long.
Spice Garden,1,Terrible service and cold food.
Royal Dine,3,Not worth the price at all.
Mayuri Inn,2,Would not visit again.
Green Leaf,2,Not worth the price at all.
Mayuri Inn,5,Highly recommend this restaurant.
Green Leaf,4,Highly recommend this restaurant.
Mayuri Inn,4,Loved the service and the taste.
Green Leaf,5,Highly recommend this restaurant.
Ocean View,5,Amazing food and great ambiance!
Spice Garden,3,Waiting time was too long.
Green Leaf,5,The staff was friendly and the food was delicious.
Ocean View,5,Loved the service and the taste.
Mayuri Inn,5,Loved the service and the taste.
Ocean View,3,Waiting time was too long.
Mayuri Inn,1,Unhygienic and poorly maintained.
Spice Garden,4,One of the best places I've dined at.
Mayuri Inn,4,The staff was friendly and the food was delicious.
Ocean View,5,Loved the service and the taste.
Green Leaf,5,Amazing food and great ambiance!
Spice Garden,5,Highly recommend this restaurant.
Ocean View,4,One of the best places I've dined at.
Ocean View,2,Not worth the price at all.
